date,country,cnt,V_18_60,V_18_60_adj,V_60,V_60_adj,V_tot,V_tot_adj
2020-12-28,Denmark,DNK,0.0099972292708651,0.01045074200917378,0.01710187274804347,0.01643068508573323,0.009842897116516187,0.011245775188304781
2020-12-29,Denmark,DNK,0.01139946816979963,0.011916591853260088,0.019875869956717113,0.019095812772970525,0.011320178115735482,0.012933608537624045
2020-12-30,Denmark,DNK,0.01280170706873416,0.013382441697346398,0.022649867165390754,0.021760940460207816,0.012797459114954779,0.01462144188694331
2020-12-31,Denmark,DNK,0.01420394596766869,0.014848291541432704,0.02542386437406439,0.024426068147445107,0.014274740114174074,0.016309275236262577
2021-01-01,Denmark,DNK,0.01560618486660322,0.016314141385519013,0.028197861582738033,0.027091195834682405,0.01575202111339337,0.01799710858558184
2021-01-02,Denmark,DNK,0.01700842376553775,0.017779991229605323,0.03097185879141167,0.029756323521919696,0.017229302112612664,0.019684941934901105
2021-01-03,Denmark,DNK,0.01841066266447228,0.01924584107369163,0.03374585600008531,0.03242145120915699,0.01870658311183196,0.02137277528422037
2021-01-04,Denmark,DNK,0.01942628085086876,0.020307531603965537,0.03652880342972467,0.03509517785302915,0.01997593631359251,0.022823045521994274
2021-01-05,Denmark,DNK,0.020441899037265246,0.021369222134239446,0.03931175085936403,0.03776890449690131,0.021245289515353056,0.02427331575976818
2021-01-06,Denmark,DNK,0.021457517223661727,0.022430912664513355,0.0420946982890034,0.040442631140773476,0.022514642717113606,0.025723585997542084
2021-01-07,Denmark,DNK,0.02247313541005821,0.023492603194787263,0.04487764571864276,0.04311635778464564,0.023783995918874153,0.02717385623531599
2021-01-08,Denmark,DNK,0.023488753596454692,0.024554293725061172,0.047660593148282124,0.0457900844285178,0.025053349120634703,0.028624126473089893
2021-01-09,Denmark,DNK,0.024504371782851177,0.02561598425533508,0.050443540577921483,0.048463811072389965,0.02632270232239525,0.030074396710863798
2021-01-10,Denmark,DNK,0.025519989969247658,0.02667767478560899,0.05322648800756084,0.05113753771626213,0.0275920555241558,0.0315246669486377
2021-01-11,Denmark,DNK,0.025723203843593716,0.026890107222230654,0.05383081835298034,0.051718150245640006,0.02785827670766316,0.031828831824552595
2021-01-12,Denmark,DNK,0.025926417717939774,0.02710253965885232,0.054435148698399834,0.05229876277501789,0.028124497891170518,0.03213299670046749
2021-01-13,Denmark,DNK,0.026129631592285832,0.027314972095473983,0.05503947904381933,0.052879375304395765,0.028390719074677877,0.03243716157638238
2021-01-14,Denmark,DNK,0.026332845466631886,0.02752740453209565,0.055643809389238824,0.05345998783377364,0.028656940258185232,0.03274132645229726
2021-01-15,Denmark,DNK,0.026536059340977945,0.027739836968717315,0.05624813973465832,0.05404060036315152,0.02892316144169259,0.033045491328212155
2021-01-16,Denmark,DNK,0.026739273215324003,0.02795226940533898,0.056852470080077815,0.0546212128925294,0.02918938262519995,0.03334965620412705
2021-01-17,Denmark,DNK,0.02694248708967006,0.028164701841960644,0.05745680042549731,0.055201825421907276,0.02945560380870731,0.03365382108004194
2021-01-18,Denmark,DNK,0.02705036550298299,0.028277474034669882,0.057633614897128635,0.055371700554577,0.029559825317097253,0.033772896961793523
2021-01-19,Denmark,DNK,0.027158243916295916,0.028390246227379116,0.05781042936875996,0.05554157568724672,0.029664046825487192,0.03389197284354511
2021-01-20,Denmark,DNK,0.027266122329608844,0.028503018420088354,0.05798724384039128,0.05571145081991644,0.029768268333877135,0.03401104872529669
