X,country,cnt,date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,StringencyIndex
10586,Finland,FIN,2021-05-05,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10587,Finland,FIN,2021-05-06,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10588,Finland,FIN,2021-05-07,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10589,Finland,FIN,2021-05-08,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10590,Finland,FIN,2021-05-09,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10591,Finland,FIN,2021-05-10,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10592,Finland,FIN,2021-05-11,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10593,Finland,FIN,2021-05-12,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10594,Finland,FIN,2021-05-13,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10595,Finland,FIN,2021-05-14,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10596,Finland,FIN,2021-05-15,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10597,Finland,FIN,2021-05-16,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10598,Finland,FIN,2021-05-17,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10599,Finland,FIN,2021-05-18,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10600,Finland,FIN,2021-05-19,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10601,Finland,FIN,2021-05-20,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10602,Finland,FIN,2021-05-21,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10603,Finland,FIN,2021-05-22,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10604,Finland,FIN,2021-05-23,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10605,Finland,FIN,2021-05-24,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10606,Finland,FIN,2021-05-25,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10607,Finland,FIN,2021-05-26,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
10608,Finland,FIN,2021-05-27,2,2,2,4,0,1,0,3,2,1,2,2,1,2,52.31
